,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,poutcome,deposit
0,59,admin.,married,secondary,no,2343,yes,no,5,may,1042,1,-1,unknown,yes
3,55,services,married,secondary,no,2476,yes,no,5,may,579,1,-1,unknown,yes
4,54,admin.,married,tertiary,no,184,no,no,5,may,673,2,-1,unknown,yes
5,42,management,single,tertiary,no,0,yes,yes,5,may,562,2,-1,unknown,yes
7,60,retired,divorced,secondary,no,545,yes,no,6,may,1030,1,-1,unknown,yes
8,37,technician,married,secondary,no,1,yes,no,6,may,608,1,-1,unknown,yes
10,38,admin.,single,secondary,no,100,yes,no,7,may,786,1,-1,unknown,yes
14,31,technician,single,tertiary,no,703,yes,no,8,may,943,2,-1,unknown,yes
16,32,blue-collar,single,primary,no,611,yes,no,8,may,541,3,-1,unknown,yes
19,49,admin.,divorced,secondary,no,168,yes,yes,8,may,513,1,-1,unknown,yes
20,28,admin.,divorced,secondary,no,785,yes,no,8,may,442,2,-1,unknown,yes
21,43,management,single,tertiary,no,2067,yes,no,8,may,756,1,-1,unknown,yes
24,37,unemployed,single,secondary,no,381,yes,no,8,may,985,2,-1,unknown,yes
25,35,blue-collar,single,secondary,no,40,yes,no,9,may,617,4,-1,unknown,yes
26,31,technician,single,tertiary,no,22,yes,no,9,may,483,3,-1,unknown,yes
27,43,blue-collar,single,secondary,no,3,yes,no,9,may,929,3,-1,unknown,yes
28,31,admin.,married,secondary,no,307,yes,no,9,may,538,1,-1,unknown,yes
29,28,blue-collar,single,secondary,no,759,yes,no,9,may,710,1,-1,unknown,yes
30,32,blue-collar,married,secondary,yes,-1,yes,no,9,may,653,1,-1,unknown,yes
31,60,technician,married,primary,no,65,yes,no,9,may,1028,2,-1,unknown,yes
32,26,blue-collar,single,secondary,no,82,yes,no,9,may,654,1,-1,unknown,yes
34,33,blue-collar,divorced,primary,no,390,yes,no,9,may,665,2,-1,unknown,yes
35,32,management,single,tertiary,no,311,no,no,12,may,757,2,-1,unknown,yes
36,35,blue-collar,married,primary,no,414,no,no,13,may,504,4,-1,unknown,yes
38,38,management,married,tertiary,no,119,yes,no,13,may,568,4,-1,unknown,yes
39,23,entrepreneur,single,primary,no,4,yes,no,13,may,395,2,-1,unknown,yes
40,60,blue-collar,married,primary,no,1262,yes,yes,13,may,1015,1,-1,unknown,yes
41,48,management,married,tertiary,no,1949,yes,no,13,may,683,2,-1,unknown,yes
42,45,entrepreneur,divorced,tertiary,no,-395,yes,no,13,may,470,1,-1,unknown,yes
43,36,blue-collar,married,secondary,no,1165,yes,no,13,may,1001,4,-1,unknown,yes
45,35,blue-collar,divorced,primary,no,300,yes,no,13,may,945,2,-1,unknown,yes
47,52,housemaid,married,secondary,no,3923,yes,no,14,may,942,3,-1,unknown,yes
48,53,technician,divorced,primary,no,1443,yes,no,14,may,476,1,-1,unknown,yes
49,48,blue-collar,divorced,primary,no,24,yes,no,14,may,832,1,-1,unknown,yes
53,41,blue-collar,married,secondary,no,2823,yes,no,14,may,858,1,-1,unknown,yes
54,48,blue-collar,married,secondary,no,1405,yes,no,14,may,629,2,-1,unknown,yes
55,40,admin.,married,secondary,no,1535,yes,no,14,may,704,1,-1,unknown,yes
56,48,blue-collar,married,secondary,no,1596,yes,no,14,may,760,1,-1,unknown,yes
57,60,retired,married,primary,no,1542,yes,no,14,may,930,1,-1,unknown,yes
59,57,technician,married,tertiary,no,-1,no,no,14,may,850,2,-1,unknown,yes
