,deposit
6260,0
8472,0
2067,1
5632,0
1047,1
2650,1
2729,1
414,1
7801,0
7530,0
5022,0
8073,0
4215,0
8418,0
6662,0
3381,1
4048,0
4707,0
5317,0
2191,1
1583,1
1412,1
3524,1
7832,0
7536,0
5925,0
7045,0
1507,1
2651,1
6079,0
1888,1
842,1
1146,1
7157,0
5035,0
5614,0
7132,0
1253,1
463,1
7018,0
5244,0
7819,0
2436,1
7506,0
7755,0
378,1
8406,0
5918,0
1335,1
1223,1
6041,0
668,1
7501,0
6415,0
8400,0
4404,0
1835,1
4597,0
7265,0
5589,0
4510,0
6571,0
4782,0
2406,1
5669,0
5660,0
8309,0
2302,1
7328,0
3532,1
1189,1
2008,1
4871,0
3410,1
1981,1
1832,1
5141,0
1406,1
1561,1
7077,0
1175,1
6373,0
2698,1
7893,0
8114,0
5935,0
214,1
4881,0
7571,0
547,1
5698,0
1545,1
7614,0
4730,0
4306,0
172,1
1726,1
5470,0
2183,1
594,1
7427,0
1615,1
1755,1
6358,0
6482,0
6499,0
231,1
5488,0
2683,1
8223,0
5692,0
8489,0
3555,1
7884,0
2818,1
8058,0
5689,0
6527,0
4196,0
4664,0
7346,0
7273,0
1515,1
216,1
1038,1
323,1
2516,1
4482,0
2572,1
4141,0
5461,0
7445,0
893,1
2312,1
3992,0
3438,1
3590,1
324,1
1215,1
3698,1
4439,0
4237,0
4958,0
7968,0
5494,0
1730,1
4447,0
3011,1
1129,1
2794,1
4319,0
1952,1
4477,0
664,1
1877,1
3070,1
208,1
7212,0
747,1
1915,1
5556,0
798,1
88,1
734,1
196,1
2189,1
3570,1
6023,0
1174,1
3535,1
4568,0
3332,1
5746,0
2318,1
5681,0
6935,0
3785,0
1153,1
198,1
5707,0
4100,0
8131,0
1097,1
548,1
8376,0
4787,0
4603,0
6498,0
1321,1
3842,0
3882,0
3543,1
8296,0
4794,0
5019,0
5049,0
7191,0
4077,0
5329,0
6176,0
5907,0
5662,0
7991,0
7358,0
8421,0
2199,1
4210,0
937,1
5044,0
3349,1
4932,0
1793,1
622,1
6018,0
7028,0
2968,1
5527,0
5216,0
7220,0
8307,0
7107,0
6570,0
4245,0
4279,0
2879,1
7465,0
5973,0
7439,0
620,1
1544,1
4564,0
8229,0
4506,0
14,1
478,1
1352,1
2288,1
4270,0
3176,1
6301,0
2215,1
7546,0
4693,0
1033,1
5198,0
286,1
550,1
2149,1
4900,0
7337,0
2495,1
7627,0
2321,1
8153,0
3964,0
2609,1
1916,1
7825,0
1569,1
1425,1
2842,1
2943,1
3542,1
1871,1
5509,0
6689,0
7493,0
2358,1
8111,0
8408,0
3826,0
4287,0
527,1
2697,1
7111,0
3379,1
7169,0
5528,0
7463,0
6159,0
5992,0
7031,0
2829,1
1149,1
3397,1
3064,1
2184,1
6675,0
0,1
701,1
5411,0
8249,0
7073,0
6532,0
6552,0
5969,0
3307,1
5970,0
1554,1
6712,0
7305,0
5001,0
7351,0
4031,0
4883,0
6744,0
833,1
1677,1
6796,0
3994,0
7383,0
549,1
1020,1
248,1
7197,0
2138,1
296,1
6830,0
57,1
5214,0
4844,0
7416,0
6244,0
7657,0
6370,0
4382,0
4229,0
100,1
2845,1
5062,0
5993,0
2061,1
5430,0
111,1
6721,0
3003,1
532,1
3182,1
5610,0
3153,1
6141,0
4022,0
1370,1
3881,0
346,1
6680,0
7464,0
2807,1
8473,0
681,1
434,1
4409,0
3092,1
1489,1
812,1
1882,1
4970,0
2316,1
1940,1
7036,0
3707,1
3464,1
1181,1
1375,1
7231,0
3715,1
626,1
2458,1
1669,1
8490,0
3780,0
7534,0
84,1
3710,1
2306,1
2522,1
418,1
5432,0
3991,0
293,1
7881,0
1506,1
8426,0
6567,0
1634,1
3184,1
8140,0
1563,1
6634,0
6990,0
1979,1
1883,1
438,1
3787,0
6729,0
6749,0
3434,1
6587,0
373,1
3469,1
5583,0
7736,0
2481,1
2576,1
1784,1
4746,0
2706,1
2499,1
5292,0
4789,0
4348,0
2251,1
6076,0
6698,0
3424,1
4550,0
7015,0
6485,0
1541,1
8044,0
322,1
2031,1
4487,0
2833,1
6780,0
7748,0
110,1
3214,1
7634,0
1079,1
2291,1
7369,0
5095,0
7781,0
1164,1
6304,0
1450,1
8180,0
5815,0
4959,0
4338,0
7313,0
5837,0
2918,1
5780,0
2543,1
